dataset,image_id,avg_jaccard,correct
Internal,ISIC_0029871,0.10685418687358551,1
Internal,ISIC_0031892,0.1353464769985858,1
Internal,ISIC_0031102,0.06529784537389101,1
Internal,ISIC_0028767,0.6857671641863571,0
Internal,ISIC_0024997,0.1069502786700711,1
Internal,ISIC_0032970,0.8564355371729052,1
Internal,ISIC_0030527,0.016927634363097757,1
Internal,ISIC_0028708,0.04672753542992406,1
Internal,ISIC_0029181,0.23968326480889293,1
Internal,ISIC_0027248,0.2684769160643355,1
Internal,ISIC_0031636,0.06539312532092316,1
Internal,ISIC_0025113,0.9049916488960408,0
Internal,ISIC_0026182,0.26202266974799165,1
Internal,ISIC_0027452,0.674946212765659,0
Internal,ISIC_0029221,0.4793601644875123,1
Internal,ISIC_0031269,0.18124007962315525,1
Internal,ISIC_0025054,0.16089238845144357,1
Internal,ISIC_0031755,0.23347285894624945,1
Internal,ISIC_0030122,0.5044060216081289,1
Internal,ISIC_0033822,0.26736240526773514,1
Internal,ISIC_0032927,0.8216847116153055,1
Internal,ISIC_0028090,0.03130207629599604,1
Internal,ISIC_0028421,0.1994937873907041,1
Internal,ISIC_0030457,0.23960565795113586,1
Internal,ISIC_0031660,0.26033591731266154,1
Internal,ISIC_0024324,0.22067122067122066,1
Internal,ISIC_0025718,0.8019906471046262,1
Internal,ISIC_0030770,0.1932708738436156,1
Internal,ISIC_0033628,0.306799784133837,1
Internal,ISIC_0032830,0.11576595447563189,1
Malignant-Benign,ISIC_0064060,0.5552484440059198,0
Malignant-Benign,ISIC_0054843,0.18577451380388957,0
Malignant-Benign,ISIC_0027036,0.22550659973972856,1
Malignant-Benign,ISIC_1080345,0.8255547042388666,1
Malignant-Benign,ISIC_0035591,0.0900212314225053,1
Malignant-Benign,ISIC_0025640,0.17794417654788677,1
Malignant-Benign,ISIC_0031912,0.20107719928186715,1
Malignant-Benign,ISIC_0012915,0.8837385182633729,1
Malignant-Benign,ISIC_1099075,0.24627723046921182,0
Malignant-Benign,ISIC_0030856,0.23961070559610706,1
Malignant-Benign,ISIC_0063198,0.13627957400675977,0
Malignant-Benign,ISIC_0035188,0.12198531981824536,1
Malignant-Benign,ISIC_0058421,0.15289032955159373,1
Malignant-Benign,ISIC_0032342,0.14293998260365323,1
Malignant-Benign,ISIC_0032455,0.15450643776824033,0
Malignant-Benign,ISIC_0022826,0.36126118749990727,0
Malignant-Benign,ISIC_0034199,0.4653299656832783,0
Malignant-Benign,ISIC_0067908,0.06412405699916178,0
Malignant-Benign,ISIC_0030471,0.1626746506986028,1
Malignant-Benign,ISIC_0023856,0.8831562505917648,1
Malignant-Benign,ISIC_0063866,0.6006894364069459,1
Malignant-Benign,ISIC_0068176,0.801638397143809,1
Malignant-Benign,ISIC_0057689,0.19890015238852446,0
Malignant-Benign,ISIC_0022069,0.6996195836847034,1
Malignant-Benign,ISIC_0026233,0.08488372093023255,1
Malignant-Benign,ISIC_0013565,0.15359084406294707,0
Malignant-Benign,ISIC_0065205,0.2002801120448179,0
Malignant-Benign,ISIC_0034660,0.05090891273457788,1
Malignant-Benign,ISIC_0028523,0.12386448648070963,1
Malignant-Benign,ISIC_0021067,0.6051897983011417,1
PH2,IMD423,0.45096656251315914,1
PH2,IMD348,0.8114438574912209,1
PH2,IMD044,0.0,1
PH2,IMD125,0.2213895666318113,1
PH2,IMD004,0.19676901464980934,0
PH2,IMD036,0.027726187317590873,0
PH2,IMD306,0.15566262193671188,0
PH2,IMD176,0.19838023872763313,1
PH2,IMD058,0.6278230109262303,0
PH2,IMD424,0.19019774922928334,0
PH2,IMD108,0.08964025948496167,1
PH2,IMD393,0.6359320714969532,1
PH2,IMD206,0.20518894529046813,1
PH2,IMD120,0.080999934730109,0
PH2,IMD078,0.24250415079597618,0
PH2,IMD020,0.2477981029810298,1
PH2,IMD339,0.16942401960784315,0
PH2,IMD033,0.21546402349615656,0
PH2,IMD160,0.19868477792151787,1
PH2,IMD037,0.1735271540971023,0
PH2,IMD152,0.2016750418760469,1
PH2,IMD208,0.15822904816078878,1
PH2,IMD040,0.2618832731648616,0
PH2,IMD198,0.24459112577924458,1
PH2,IMD014,0.1974727675359269,0
PH2,IMD091,0.1209498156925709,0
PH2,IMD411,0.8404092661198416,1
PH2,IMD419,0.8106391433771595,1
PH2,IMD147,0.04522774826975696,1
PH2,IMD048,0.1429222495670404,0
