dataset,image_id,correct,avg_jaccard,min_jaccard,max_jaccard
HAM10000,ISIC_0033272,0,0.3414707125391114,0.0,0.7327141382856335
HAM10000,ISIC_0031923,1,0.3518563162285337,0.0,0.8016157989204021
HAM10000,ISIC_0026652,1,0.8391042918574554,0.7096843461440634,0.9570846319804434
HAM10000,ISIC_0030583,1,0.44520911632109245,0.0,0.9533195020713924
HAM10000,ISIC_0034010,0,0.5406952988047016,0.22130923034754682,0.9237826393776658
HAM10000,ISIC_0024424,1,0.35073494699837937,0.0,0.796181920268394
HAM10000,ISIC_0032832,1,0.3734819370849119,0.009026434558330052,0.9778664731459439
HAM10000,ISIC_0026671,1,0.17018956339907243,0.0,0.5552158960631348
HAM10000,ISIC_0032389,0,0.35896320145017846,0.0,0.9289383561623953
HAM10000,ISIC_0025525,1,0.4201430090722675,0.0,0.8486377396547714
HAM10000,ISIC_0024772,0,0.5784742869688966,0.2816436093324765,0.9314413265276421
HAM10000,ISIC_0025799,1,0.40942302625825616,0.0,0.9454970153102894
HAM10000,ISIC_0027487,1,0.8349130541828719,0.694667640612318,0.9713369412688488
HAM10000,ISIC_0025347,1,0.215637787277294,0.0,0.866795990944498
HAM10000,ISIC_0030189,1,0.29766078438838867,0.0,0.8936963819462013
HAM10000,ISIC_0031892,1,0.19759323269614057,0.0,0.6941624365467551
HAM10000,ISIC_0028090,1,0.21021286948201978,0.0,0.5883402736454723
HAM10000,ISIC_0032151,0,0.6498031299975103,0.39619692628185416,0.9102482495197001
HAM10000,ISIC_0029281,1,0.7662363846377094,0.6171647230309454,0.9759390687191
HAM10000,ISIC_0024852,1,0.23650056734890149,0.0,0.7341931424953313
ISIC2020,ISIC_9089575,1,0.375572159402825,0.0,0.8767969904596576
ISIC2020,ISIC_6347975,1,0.396023323476345,0.0,0.8995002776185481
ISIC2020,ISIC_9822801,1,0.35891606990505914,0.0,0.8110189573435693
ISIC2020,ISIC_4455932,1,0.3888783767535416,0.0,0.8401675484990296
ISIC2020,ISIC_3649632,1,0.4657366055858252,0.2412741443570272,0.811642214856547
ISIC2020,ISIC_9886540,1,0.4160825425503498,0.0,0.9689070351728364
ISIC2020,ISIC_9481783,0,0.6760951676575874,0.4912069742965712,0.7895545314884993
ISIC2020,ISIC_8049827,1,0.3828872378217034,0.0,0.9472781825934536
ISIC2020,ISIC_6447132,1,0.34340362685061415,0.0,0.895147679323006
ISIC2020,ISIC_7032085,1,0.37156461555743986,0.0,0.8480769230745933
ISIC2020,ISIC_9318322,1,0.45500888518267035,0.01540026151385239,0.9454999040473124
ISIC2020,ISIC_6639985,1,0.32024745432812146,0.0,0.777820562184144
ISIC2020,ISIC_5049137,1,0.07965049679873597,0.0,0.4198572355599615
ISIC2020,ISIC_9566964,1,0.3906513964545759,0.0,0.823211446738241
ISIC2020,ISIC_8791744,1,0.3618948427027833,0.0,0.8369061413648989
ISIC2020,ISIC_9465063,1,0.1990260061031932,0.0,0.6090710693608415
ISIC2020,ISIC_1962845,1,0.35341770260968497,0.0,0.8217728662101534
ISIC2020,ISIC_3338730,1,0.6032140359111933,0.3161007667024839,0.8999760134303191
ISIC2020,ISIC_6882480,1,0.36879001452908494,0.0,0.7979115479090974
ISIC2020,ISIC_5446470,1,0.34729759407881106,0.0,0.9014409221889028
MILK10K,ISIC_3418625,0,0.2894529588032236,0.0,0.8529758130257695
MILK10K,ISIC_0393927,0,0.4363381391461186,0.0,0.9427472278774774
MILK10K,ISIC_0510537,1,0.7145363568992963,0.49338374290998727,0.9654901960759072
MILK10K,ISIC_0091477,1,0.4495372878861599,0.0,0.9366909861121754
MILK10K,ISIC_5399116,0,0.4179713903796936,0.0,0.9709252608158527
MILK10K,ISIC_8873365,1,0.2390187108668531,0.0,0.90431837425655
MILK10K,ISIC_2001379,0,0.3119488790481321,0.0,0.8793480421378658
MILK10K,ISIC_9280729,1,0.170943928883883,0.0,0.47261009666952186
MILK10K,ISIC_9812504,0,0.4114741738054783,0.0,0.8968582058683405
MILK10K,ISIC_4859968,0,0.36056014860712254,0.0,0.9227867203196107
MILK10K,ISIC_5425472,0,0.3179950986290773,0.0,0.95245751033423
MILK10K,ISIC_8832798,1,0.2840850334873734,0.0,0.8324965132484903
MILK10K,ISIC_9176784,0,0.5665265510604681,0.25669922364072956,0.9302027200386703
MILK10K,ISIC_5728121,1,0.3403118353071323,0.0,0.8427835051528291
MILK10K,ISIC_7243372,0,0.3149076713997609,0.0,0.8883531157237079
MILK10K,ISIC_1237574,0,0.2845756101072527,0.0,0.9244804061543321
MILK10K,ISIC_3724648,0,0.3883572616572601,0.0,0.9266400188091621
MILK10K,ISIC_8346017,0,0.3194082403714747,0.0,0.9218269653011778
MILK10K,ISIC_8709148,0,0.3758048377942735,0.0,0.8945634266869952
MILK10K,ISIC_2205154,0,0.44044201653576104,0.0,0.9388007054657164
Malignant-Benign,ISIC_0064259,1,0.4420616444094118,0.0,0.9070471249420362
Malignant-Benign,ISIC_0021503,0,0.3520968840573073,0.0,0.8158198614295156
Malignant-Benign,ISIC_0033943,1,0.38348494485492496,0.0,0.9512496906682721
Malignant-Benign,ISIC_0061657,1,0.35066722520573723,0.0,0.813812858049606
Malignant-Benign,ISIC_0058114,1,0.4159118310983591,0.0,0.9005389514899533
Malignant-Benign,ISIC_0067950,0,0.46097159134200183,0.0,0.9437963944831819
Malignant-Benign,ISIC_0030333,1,0.8038737015945953,0.6526610644245515,0.9641547861487492
Malignant-Benign,ISIC_0027135,1,0.7859197126789018,0.6267605633788105,0.9789837722772573
Malignant-Benign,ISIC_0071597,0,0.4291061223663832,0.0,0.9067318540770714
Malignant-Benign,ISIC_0023458,0,0.3764045630903167,0.0,0.9534397358272388
Malignant-Benign,ISIC_0062306,1,0.3785930994014683,0.0,0.9034038638412908
Malignant-Benign,ISIC_0035456,1,0.42367768342137,0.0,0.950168918910894
Malignant-Benign,ISIC_0029697,1,0.32258723572094,0.0,0.808516638463597
Malignant-Benign,ISIC_0030276,1,0.23985043939497688,0.0,0.8490313272868414
Malignant-Benign,ISIC_0013618,1,0.4829163842291953,0.23885684320891604,0.7054367951511439
Malignant-Benign,ISIC_0062399,0,0.5658323595276348,0.21630347054032223,0.9406165942459329
Malignant-Benign,ISIC_0055904,1,0.8975289147403247,0.8399788750968049,0.9703665193632172
Malignant-Benign,ISIC_0056972,0,0.3611508840900734,0.0,0.9471138845539047
Malignant-Benign,ISIC_0032061,1,0.8736324832877217,0.8082247974558422,0.9639294710317743
Malignant-Benign,ISIC_1901212,1,0.7790571357575321,0.708665338644242,0.981088254809255
PH2,IMD049,0,0.4281187259883599,0.0016882386043846702,0.9864551083553156
PH2,IMD112,1,0.2924763876608047,0.0,0.8620571624150914
PH2,IMD175,1,0.42561772349476995,0.0,0.9301724137890941
PH2,IMD436,0,0.3825839574462118,0.0,0.8677935943045058
PH2,IMD251,0,0.42986672505019136,0.0,0.9744987346681439
PH2,IMD155,0,0.4179325402812675,0.0,0.9610969387724455
PH2,IMD384,1,0.242947989470516,0.0,0.6323894036269968
PH2,IMD168,1,0.6036435828208212,0.29292751583340443,0.9698928703343741
PH2,IMD242,0,0.378481650518565,0.0,0.9364422715288897
PH2,IMD143,1,0.4155352691679492,0.0,0.8804809052313048
PH2,IMD380,1,0.4329184281778667,0.0,0.9419515669482125
PH2,IMD407,0,0.28402656698484074,0.0,0.954038082728319
PH2,IMD080,1,0.4705511908013378,0.055569684638789967,0.929323476701468
PH2,IMD400,1,0.43142096227195487,0.0,0.9672772541330833
PH2,IMD413,0,0.33809639927046614,0.0,0.9139307000697909
PH2,IMD348,1,0.8441203899994839,0.7241889584510822,0.9711407876856369
PH2,IMD208,1,0.2709350508013371,0.0,0.7453195610062994
PH2,IMD427,0,0.3595026766728486,0.0,0.9363354037238002
PH2,IMD013,0,0.39813466913628287,0.0,0.9747656813195764
PH2,IMD383,1,0.282136334004021,0.0,0.9347677595617773
